Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
79	XLOC_001634	Bra038697	EUCA	pk	OK	1.3921	6.25131	2.16689	1.18631	5e-05	0.00105935	yes
80	XLOC_001644	Bra038676	EUCA	pk	OK	6.24826	0.82596	-2.91931	-1.21587	5e-05	0.00105935	yes
81	XLOC_001706	Bra034077	EUCA	pk	OK	66.7595	29.6081	-1.17298	-0.7544	0.0058	0.0397691	yes
82	XLOC_001737	Bra040021	EUCA	pk	OK	5.08074	2.64946	-0.939341	-0.586425	0.00505	0.0356857	yes
83	XLOC_001757	Bra040299	EUCA	pk	OK	6.64651	4.0248	-0.72368	-0.521737	0.0077	0.0481521	yes
84	XLOC_001779	Bra040236	EUCA	pk	OK	18.8749	10.0018	-0.916215	-0.659933	0.00095	0.0107259	yes
85	XLOC_001787	Bra040247	EUCA	pk	OK	40.7004	8.24723	-2.30306	-3.87302	0.00045	0.00617811	yes
86	XLOC_001906	Bra011833	EUCA	pk	OK	5.07542	2.18155	-1.21817	-0.633777	0.00185	0.0173625	yes
87	XLOC_001922	Bra011799	EUCA	pk	OK	6.58038	2.76113	-1.25291	-0.79375	5e-04	0.00668875	yes
88	XLOC_001928	Bra011783	EUCA	pk	OK	37.9431	24.4495	-0.634034	-0.62123	0.0032	0.025904	yes
89	XLOC_001933	Bra011778	EUCA	pk	OK	33.1983	4.68149	-2.82607	-0.620344	0.00485	0.0346186	yes
90	XLOC_001936	Bra011773,Bra011774	EUCA	pk	OK	81.8215	44.2554	-0.886628	-0.811925	5e-05	0.00105935	yes
91	XLOC_001978	Bra011664	EUCA	pk	OK	14.7693	32.3399	1.13072	0.761219	0.00015	0.00261531	yes
92	XLOC_002005	Bra011617	EUCA	pk	OK	5.59659	10.8915	0.960581	0.880207	5e-05	0.00105935	yes
93	XLOC_002023	Bra011578	EUCA	pk	OK	10.5939	6.15946	-0.782353	-0.575199	0.0073	0.0463014	yes
94	XLOC_002044	Bra011532,Bra011533	EUCA	pk	OK	4.00021	9.10682	1.18687	0.903388	0.00015	0.00261531	yes
95	XLOC_002055	Bra011514	EUCA	pk	OK	35.9535	22.1136	-0.701196	-0.649669	0.0021	0.0189965	yes
96	XLOC_002067	Bra011482	EUCA	pk	OK	9.5222	4.90995	-0.955587	-0.557989	0.00685	0.0443846	yes
97	XLOC_002135	Bra011333	EUCA	pk	OK	11.2463	23.2856	1.04998	0.888328	3e-04	0.00448246	yes
98	XLOC_002137	Bra011330	EUCA	pk	OK	3.55135	9.25523	1.3819	0.853923	0.0011	0.0119263	yes
99	XLOC_002140	Bra011317,Bra011318,Bra011319	EUCA	pk	OK	5.65674	10.4038	0.87907	0.691805	0.0013	0.0134861	yes
100	XLOC_002142	Bra011315	EUCA	pk	OK	24.8569	50.0602	1.01002	0.845447	5e-04	0.00668875	yes
101	XLOC_002144	Bra011312,Bra011313	EUCA	pk	OK	71.8747	27.4885	-1.38666	-0.861156	0.00095	0.0107259	yes
102	XLOC_002168	Bra011260	EUCA	pk	OK	7.25934	23.6788	1.70569	1.0865	5e-05	0.00105935	yes
103	XLOC_002179	Bra011236	EUCA	pk	OK	6.93282	26.9467	1.95859	0.918184	0.0075	0.0472953	yes
104	XLOC_002192	Bra011201	EUCA	pk	OK	95.9462	57.5052	-0.738534	-0.674043	0.00045	0.00617811	yes
105	XLOC_002210	Bra011160	EUCA	pk	OK	5.71772	15.2581	1.41607	0.282648	0.0023	0.0201531	yes
106	XLOC_002216	Bra011149	EUCA	pk	OK	0.072359	21.9989	8.24804	0.496112	5e-05	0.00105935	yes
107	XLOC_002264	Bra011047,Bra011048	EUCA	pk	OK	90.0577	31.1407	-1.53205	-1.11444	5e-05	0.00105935	yes
